question_id,source_hotpot_id,gold_doc_id,gold_title,gold_sentence,current_question,rewritten_question,status,notes
sf_cand_0075,5ab82dc955429934fafe6d08,doc_pansexual_pride_flag_e7a123471b,Pansexual pride flag," The pansexual pride flag is used to increase visibility and recognition for the pansexual community, and to distinguish it from bisexuality.","Rewrite this fact into a natural semantic question:  The pansexual pride flag is used to increase visibility and recognition for the pansexual community, and to distinguish it from bisexuality.",,todo,
sf_cand_0076,5ac12e9755429964131be162,doc_2015_16_los_angeles_lakers_season_59ba3dcbd7,2015–16 Los Angeles Lakers season," Afterwards, the Lakers traded for former Pacers' center Roy Hibbert and signed for the reigning Sixth Man of the Year, Lou Williams, and forward Brandon Bass.","Rewrite this fact into a natural semantic question:  Afterwards, the Lakers traded for former Pacers' center Roy Hibbert and signed for the reigning Sixth Man of the Year, Lou Williams, and forward Brandon Bass.",,todo,
sf_cand_0077,5abbfa0c55429931dba14601,doc_henry_t_elrod_6d1609e0ac,Henry T. Elrod," He enlisted in the Marine Corps in December 1927, and was appointed a Marine second lieutenant in February 1931.","Rewrite this fact into a natural semantic question:  He enlisted in the Marine Corps in December 1927, and was appointed a Marine second lieutenant in February 1931.",,todo,
sf_cand_0078,5a8b291455429971feec4658,doc_spearhafoc_f9185f9a2b,Spearhafoc," After his consecration as bishop was thwarted, he vanished with the gold and jewels he had been given to make into a crown for King Edward the Confessor, and was never seen again.","Rewrite this fact into a natural semantic question:  After his consecration as bishop was thwarted, he vanished with the gold and jewels he had been given to make into a crown for King Edward the Confessor, and was never seen again.",,todo,
sf_cand_0079,5abbd8c85542993f40c73be4,doc_michael_medved_a288613bd9,Michael Medved," His Seattle-based nationally syndicated talk show, ""The Michael Medved Show"", airs throughout the U.S. on Salem Radio Network.","Rewrite this fact into a natural semantic question:  His Seattle-based nationally syndicated talk show, ""The Michael Medved Show"", airs throughout the U.S. on Salem Radio Network.",,todo,
sf_cand_0080,5a8f23a255429918e830d19c,doc_the_shanghai_gesture_bd75cb2d63,The Shanghai Gesture,"The Shanghai Gesture is a 1941 American film noir directed by Josef von Sternberg and starring Gene Tierney, Walter Huston, Victor Mature, and Ona Munson.","Rewrite this fact into a natural semantic question: The Shanghai Gesture is a 1941 American film noir directed by Josef von Sternberg and starring Gene Tierney, Walter Huston, Victor Mature, and Ona Munson.",,todo,
sf_cand_0081,5ab7093d5542991d32223766,doc_phil_neville_dc7fba3243,Phil Neville,"Philip John Neville (born 21 January 1977) is an English football former football player and current television pundit for Sky Sports, who is the co-owner of Salford City.","Rewrite this fact into a natural semantic question: Philip John Neville (born 21 January 1977) is an English football former football player and current television pundit for Sky Sports, who is the co-owner of Salford City.",,todo,
sf_cand_0082,5a7a14f55542996a35c170c1,doc_yeo_hoon_min_e26fee02b3,Yeo Hoon-min,"Yeo Hoon-min (Korean: 여훈민 ; born August 16, 1991), also known by his stage name Hoon, is a South Korean singer and actor.","Rewrite this fact into a natural semantic question: Yeo Hoon-min (Korean: 여훈민 ; born August 16, 1991), also known by his stage name Hoon, is a South Korean singer and actor.",,todo,
sf_cand_0083,5ab3b08f554299753aec59a0,doc_mysterious_castles_of_clay_d3a90eb3ee,Mysterious Castles of Clay,"Mysterious Castles of Clay is a 1978 film about a termite colony; filmed in Kenya by film-makers Joan and Alan Root, and narrated by Orson Welles.","Rewrite this fact into a natural semantic question: Mysterious Castles of Clay is a 1978 film about a termite colony; filmed in Kenya by film-makers Joan and Alan Root, and narrated by Orson Welles.",,todo,
sf_cand_0084,5a88e7e15542993b751ca8ce,doc_a1_band_982f417342,A1 (band),A1 (stylised as a1) are a British–Norwegian pop group that formed in 1998.,Rewrite this fact into a natural semantic question: A1 (stylised as a1) are a British–Norwegian pop group that formed in 1998.,,todo,
sf_cand_0085,5ae0c6275542993d6555ec5c,doc_527_euryanthe_36000d38e6,527 Euryanthe, It was discovered in 1904 by Max Wolf and named after the heroine of an opera by the German composer Carl Maria von Weber.,Rewrite this fact into a natural semantic question:  It was discovered in 1904 by Max Wolf and named after the heroine of an opera by the German composer Carl Maria von Weber.,,todo,
sf_cand_0086,5a76bcba5542993735360194,doc_never_a_dull_moment_1968_film_1bcec3a3c5,Never a Dull Moment (1968 film),Never a Dull Moment is a 1968 American comedy crime film from Walt Disney Productions starring Dick Van Dyke and Edward G. Robinson and directed by Jerry Paris.,Rewrite this fact into a natural semantic question: Never a Dull Moment is a 1968 American comedy crime film from Walt Disney Productions starring Dick Van Dyke and Edward G. Robinson and directed by Jerry Paris.,,todo,
sf_cand_0087,5ae4062655429970de88d864,doc_bernard_malamud_e71b06c3fa,Bernard Malamud," His baseball novel, ""The Natural"", was adapted into a 1984 film starring Robert Redford.","Rewrite this fact into a natural semantic question:  His baseball novel, ""The Natural"", was adapted into a 1984 film starring Robert Redford.",,todo,
sf_cand_0088,5abaf3c85542996cc5e49f33,doc_george_small_musician_0e9fc1293f,George Small (musician)," His keyboard and piano work is featured on John Lennon & Yoko Ono's album ""Double Fantasy"" and the follow up, ""Milk and Honey"".","Rewrite this fact into a natural semantic question:  His keyboard and piano work is featured on John Lennon & Yoko Ono's album ""Double Fantasy"" and the follow up, ""Milk and Honey"".",,todo,
sf_cand_0089,5ade67545542997c77adee1c,doc_america_the_beautiful_cc16096eee,America the Beautiful," The lyrics were written by Katharine Lee Bates, and the music was composed by church organist and choirmaster Samuel A. Ward at Grace Episcopal Church in Newark, New Jersey.","Rewrite this fact into a natural semantic question:  The lyrics were written by Katharine Lee Bates, and the music was composed by church organist and choirmaster Samuel A. Ward at Grace Episcopal Church in Newark, New Jersey.",,todo,
sf_cand_0090,5a8b6af755429950cd6afce9,doc_juliana_hatfield_550673a3bc,Juliana Hatfield,"Juliana Hatfield (born July 27, 1967) is an American musician and singer-songwriter from the Boston area.","Rewrite this fact into a natural semantic question: Juliana Hatfield (born July 27, 1967) is an American musician and singer-songwriter from the Boston area.",,todo,
