question_id,source_hotpot_id,subtype,gold_doc_id,gold_title,gold_sentence,anchor_value,current_question,final_question,status,notes,llm_verdict,llm_attempts,deterministic_issues,verifier_reason,generator_model,verifier_model
ex_date_cand_0013,5ade5ec4554299728e26c6ee,date_number_lookup,doc_paul_marantz_c45fdf3637,Paul Marantz,"Paul Marantz is an American architectural lighting designer, whose work includes the discothèque Studio 54, the Times Square Ball, the Tribute in Light, the Barnes Foundation,",54,"Which document mentions ""54"" in the evidence needed to answer: Paul Marantz work includes which nightclub that is currently a Broadway theatre?","Which document mentions ""54"" in relation to the nightclub that is part of Paul Marantz's work and now operates as a Broadway theatre?",needs_review,Deterministic checks failed: non_title_lookup_leaks_gold_title,repair,3,non_title_lookup_leaks_gold_title,Deterministic checks failed: non_title_lookup_leaks_gold_title,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_date_cand_0014,5ac266ff5542992f1f2b38b3,date_number_lookup,doc_dominic_savio_d883c6c80a,Dominic Savio,"Dominic Savio (Italian: ""Domenico Savio"" ; April 2, 1842 – March 9, 1857) was an Italian adolescent student of Saint John Bosco.",1842,"Which document mentions ""1842"" in the evidence needed to answer: Who was a student of the developer of a method that became known as the Salesian Preventive System?","Which document mentions April 2, 1842, and describes an Italian adolescent student of Saint John Bosco?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_date_cand_0015,5a78a4315542990784727704,date_number_lookup,doc_new_jersey_route_495_698ee7b2a6,New Jersey Route 495,"Route 495 is a 3.45 mi freeway in Hudson County, New Jersey, in the United States that connects the New Jersey Turnpike (Interstate 95, I-95) at exits 16E and 17 in Secaucus to New York State Route 495 (NY 495) inside the Lincoln Tunnel in Weehawken, providing access to Midtown Manhattan.",17,"Which document mentions ""17"" in the evidence needed to answer: What was the 2010 population of the town located at exit 17 off of Route 495 in Hudson County?","Which document mentions exit 17 and describes the location of Route 495 in Hudson County, New Jersey?",accepted,,accept,2,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_date_cand_0016,5a8eda6b55429917b4a5bde1,date_number_lookup,doc_moon_pilot_59e018a30c,Moon Pilot,"Moon Pilot is a 1962 American Technicolor science fiction satirical comedy film from Walt Disney Productions, released through Buena Vista Distribution, directed by James Neilson, and starring Tom Tryon, Brian Keith, Edmund O'Brien, Dany Saval, and Tommy Kirk.",1962,"Which document mentions ""1962"" in the evidence needed to answer: What star of Moon Pilot also appeared in The Parent Trap?",Which document mentions an actor from a 1962 film who also appeared in The Parent Trap?,accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_date_cand_0017,5a8f940755429918e830d279,date_number_lookup,doc_kenny_young_3216cf5269,Kenny Young,"Kenny Young is an American songwriter, producer and environmentalist who has been an active writer, artist, and producer from 1963 to the present.",1963,"Which document mentions ""1963"" in the evidence needed to answer: What is the name of the father of a woman who sang a top 40 hit written by Kenny Young who also sang the 1966 hit ""These Boots Are Made for Walkin'""?","Which document mentions ""1963"" and includes information about a woman who sang a top 40 hit written by Kenny Young and also performed the 1966 hit ""These Boots Are Made for Walkin'""?",needs_review,Deterministic checks failed: non_title_lookup_leaks_gold_title,repair,3,non_title_lookup_leaks_gold_title,Deterministic checks failed: non_title_lookup_leaks_gold_title,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_date_cand_0018,5ab82d835542992aa3b8c8a7,date_number_lookup,doc_dennis_chun_bceba061b7,Dennis Chun,"Dennis Chun (born March 18, 1952) is an American actor, he is the son of actor Kam Fong Chun, and best known for his role as Sgt. Duke Lukela in ""Hawaii Five-0"".",0,"Which document mentions ""0"" in the evidence needed to answer: The actor who played Chino Ho Kelly on the T.V. series ""Hawaii Five-O"" Starred along side his son that played which character?","Which document contains the number 0 and mentions the actor who played Sgt. Duke Lukela in ""Hawaii Five-0""?",accepted,,accept,1,,valid,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_date_cand_0019,5ae76b105542997ec2727637,date_number_lookup,doc_monty_waters_945f41585a,Monty Waters,"Monty Waters (April 14, 1938 in Modesto, California – December 23, 2008 in Munich, Germany) was an American jazz saxophonist, flautist and singer.",14,"Which document mentions ""14"" in the evidence needed to answer: The city in which Monty Waters was born is Italian for what word?","Which document mentions April 14, 1938 and states that the city where the person was born is Italian for a specific word?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_date_cand_0020,5ab2f4ef5542991669774156,date_number_lookup,doc_half_the_sky_754f5a054e,Half the Sky,Half the Sky: Turning Oppression into Opportunity for Women Worldwide is a nonfiction book by Nicholas Kristof and Sheryl WuDunn published by Knopf in September 2009.,2009,"Which document mentions ""2009"" in the evidence needed to answer: Who co-wrote Half the Sky with American journalist Nicholas Kristof?","Which document mentions ""2009"" and states who co-wrote the book with American journalist Nicholas Kristof?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_date_cand_0021,5ac300f1554299218029dbb6,date_number_lookup,doc_cars_2_0ead5c70b1,Cars 2,Cars 2 is a 2011 American computer-animated action comedy spy film produced by Pixar Animation Studios for Walt Disney Pictures.,2,"Which document mentions ""2"" in the evidence needed to answer: Which film was released first, Cars 2 or Into the Woods?","Which document mentions ""2"" in the context of a 2011 American computer-animated action comedy spy film produced by Pixar Animation Studios for Walt Disney Pictures?",accepted,,accept,1,,valid question,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_date_cand_0022,5a85c8035542997175ce2018,date_number_lookup,doc_46th_gma_dove_awards_2e379f75f3,46th GMA Dove Awards,"The 46th Annual GMA Dove Awards presentation ceremony was held on Tuesday, October 13, 2015 at the Allen Arena located in Nashville, Tennessee.",13,"Which document mentions ""13"" in the evidence needed to answer: What singer from the band ""Mary Mary"" shared the job title of host for an awards show with a television star?","Which document mentions a singer from the band ""Mary Mary"" sharing hosting duties for an awards show with a television star on October 13, 2015?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_date_cand_0023,5a85f9c55542996432c57153,date_number_lookup,doc_katzenbach_v_morgan_c80d4e7991,Katzenbach v. Morgan,"Katzenbach v. Morgan, 384 U.S. 641 (1966) , was a United States Supreme Court case regarding the power of Congress, pursuant to Section 5 of the 14th Amendment, to enact laws that enforce and interpret provisions of the Constitution.",1966,"Which document mentions ""1966"" in the evidence needed to answer: Which was decided first, Katzenbach v. Morgan or Brown v. Board of Education?",Which document contains the year 1966 and records a Supreme Court case about Congress's power under Section 5 of the 14th Amendment to enforce constitutional provisions?,accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_date_cand_0024,5ab238af554299340b52549e,date_number_lookup,doc_the_bargee_1679af0316,The Bargee,"The Bargee is a 1964 British comedy film directed by Duncan Wood, and starring Harry H. Corbett, Hugh Griffith, Eric Sykes and Ronnie Barker.",1964,"Which document mentions ""1964"" in the evidence needed to answer: Which director/actor was in a British comedy film directed  by Duncan Wood?","Which document mentions ""1964"" and describes a British comedy film directed by Duncan Wood?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_date_cand_0025,5a7defcd5542990b8f503afb,date_number_lookup,doc_white_town_d370c1969d,White Town," It also peaked at number one in Spain, as well as number two in Australia, number four in Canada, Denmark and Finland and number 23 in the United States.",23,"Which document mentions ""23"" in the evidence needed to answer: What rank was the lead single from the album ""Women in Technology""  in the United States?","Which document mentions the rank 23 for the lead single from the album ""Women in Technology"" in the United States?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_date_cand_0026,5ae05b06554299603e418403,date_number_lookup,doc_norse_federation_c1897d81f9,Norse Federation,"The Norse Federation (Norwegian: ""Nordmanns-Forbundet"" ) is a Norwegian non-profit organization that was founded it 1907, and is under the patronage of the monarch of Norway, currently King Harald V.",1907,"Which document mentions ""1907"" in the evidence needed to answer: When did the monarch of Norway ascend to the throne?","Which document mentions ""1907"" and states the founding year of the organization under the patronage of the monarch of Norway?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_date_cand_0027,5a79e421554299029c4b5f82,date_number_lookup,doc_derek_st_holmes_f2a09ceb63,Derek St. Holmes,"Derek St. Holmes (born February 24, 1953) is an American musician, best known as the vocalist and rhythm guitar player for Ted Nugent's early solo career.",1953,"Which document mentions ""1953"" in the evidence needed to answer: Derek St. Holmes and Angela Gossow, have what occupation in common?","Which document mentions February 24, 1953 and states that the person is a musician?",accepted,,accept,1,,The gold sentence contains the required information and the question is a natural lookup.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_date_cand_0028,5a7aa6645542992d025e66db,date_number_lookup,doc_giles_nuttgens_5725f509c0,Giles Nuttgens,"Giles Nuttgens (born 1960), BSC is a British cinematographer, perhaps best known for the 2016 film ""Hell or High Water"", for which he received a 2017 BAFTA nomination.",1960,"Which document mentions ""1960"" in the evidence needed to answer: Giles Nuttgens is a cinematographer best known fow a 2016 film directed by which director ?","Which document mentions ""1960"" and states that a cinematographer is best known for a 2016 film directed by which director?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_date_cand_0029,5ac3c69d554299204fd21e51,date_number_lookup,doc_h_ry_j_nos_5eafdaa3d6,Háry János,"Háry János is a Hungarian folk opera (that is, a spoken play with songs, in the manner of a ""Singspiel"") in four acts by Zoltán Kodály to a Hungarian libretto by Béla Paulini (1881–1945) and Zsolt Harsányi, based on the comic epic ""The Veteran"" (""Az obsitos"") by János Garay.",1881,"Which document mentions ""1881"" in the evidence needed to answer: Háry János and Fedora, are which type of dramatic play?","Which document mentions ""1881"" and describes a Hungarian folk opera with spoken dialogue and songs?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_date_cand_0030,5a8650585542994775f6074d,date_number_lookup,doc_zymer_bytyqi_6111a8fadf,Zymer Bytyqi," He previously played for Sandnes Ulf and Red Bull Salzburg, and became the youngest player that has ever played in the Norwegian top league when he made his first-team debut in 2012 (the record has since been broken by Martin Ødegaard).",2012,"Which document mentions ""2012"" in the evidence needed to answer: Zymer Bytyqi was the youngest to ever play in the Norwegian top league until it was broken by the player from which Dutch club?",Which document mentions the year 2012 in relation to Zymer Bytyqi becoming the youngest player to debut in the Norwegian top league before Martin Ødegaard broke the record?,needs_review,Deterministic checks failed: non_title_lookup_leaks_gold_title,repair,3,non_title_lookup_leaks_gold_title,Deterministic checks failed: non_title_lookup_leaks_gold_title,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_phrase_cand_0001,5a8acd085542995153361385,exact_phrase_lookup,doc_atlantica_online_ecc5a0101c,Atlantica Online,Atlantica Online is a free-to-play (F2P) 3D tactical massively multiplayer online role-playing game (MMORPG) developed by NDOORS Corporation.,NDOORS Corporation.,"Which document contains the exact phrase ""NDOORS Corporation."" in evidence related to: Atlantica Online is a MORPG set in the mythical land of Atlantis, which was first described by what western philosopher?","Which document contains the exact phrase ""NDOORS Corporation."" and describes a free-to-play 3D tactical massively multiplayer online role-playing game?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_phrase_cand_0002,5a7eba5155429934daa2fc54,exact_phrase_lookup,doc_monday_monday_8c5fb6bbfb,Monday Monday,"Monday Monday is an ITV, UTV comedy drama.",Monday Monday is an ITV UTV,"Which document contains the exact phrase ""Monday Monday is an ITV UTV"" in evidence related to: Monday Monday is a television comedy broadcast in what country?",,drop,Candidate cannot satisfy subtype constraints: anchor_leaks_gold_title,preflight_drop,0,anchor_leaks_gold_title,,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_phrase_cand_0003,5a8b74aa5542997f31a41d35,exact_phrase_lookup,doc_timbarra_gold_mine_5036cd5b5d,Timbarra Gold Mine,"The Timbarra Gold Mine was a highly controversial gold mine located on the Timbarra Plateau, at the head waters of the Clarence River, near Tenterfield, New South Wales, Australia.",The Timbarra Gold Mine,"Which document contains the exact phrase ""The Timbarra Gold Mine"" in evidence related to: The Timbarra Gold Mine was a gold mine located in the New England region at the intersection of New England and what?",,drop,Candidate cannot satisfy subtype constraints: anchor_leaks_gold_title,preflight_drop,0,anchor_leaks_gold_title,,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_phrase_cand_0004,5ab75c6c55429928e1fe384f,exact_phrase_lookup,doc_2000_fa_charity_shield_9ccef493c0,2000 FA Charity Shield, The goals were scored by Jimmy Floyd Hasselbaink and Mario Melchiot.,Jimmy Floyd Hasselbaink and Mario Melchiot.,"Which document contains the exact phrase ""Jimmy Floyd Hasselbaink and Mario Melchiot."" in evidence related to: What nationality was the player who along with Mario Melchior scored in the 2000 FA Charity Shield ?","Which document contains the exact phrase ""Jimmy Floyd Hasselbaink and Mario Melchiot."" and mentions the nationality of the player who scored with Mario Melchiot in the 2000 FA Charity Shield?",needs_review,Deterministic checks failed: non_title_lookup_leaks_gold_title,repair,3,non_title_lookup_leaks_gold_title,Deterministic checks failed: non_title_lookup_leaks_gold_title,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_phrase_cand_0005,5a8feec75542990a9849357c,exact_phrase_lookup,doc_faces_of_death_4c43ccbfb1,Faces of Death,Faces of Death (also released more recently as The Original Faces of Death) is a 1978 American mondo horror film directed by Conan LeCilaire and written by Alan Black.,The Original Faces of Death,"Which document contains the exact phrase ""The Original Faces of Death"" in evidence related to: Which film was released in the year 1964, Faces of Death or Point of Order?",,drop,Candidate cannot satisfy subtype constraints: anchor_leaks_gold_title,preflight_drop,0,anchor_leaks_gold_title,,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_phrase_cand_0006,5a774fb15542994aec3b7286,exact_phrase_lookup,doc_aleksander_krupa_eedbaa30a0,Aleksander Krupa,"Aleksander Krupa (born 18 March 1947), often credited as Olek Krupa, is a Polish actor, active in film and television roles and best known for playing villains and/or criminals, such as in ""Eraser"", ""Blue Streak"" and ""Home Alone 3"".",Blue Streak,"Which document contains the exact phrase ""Blue Streak"" in evidence related to: Which John Hughes' movie features Aleksander Krupa?","Which document contains the exact phrase ""Blue Streak"" and mentions the Polish actor Aleksander Krupa known for playing villains in films?",needs_review,Deterministic checks failed: non_title_lookup_leaks_gold_title,repair,3,non_title_lookup_leaks_gold_title,Deterministic checks failed: non_title_lookup_leaks_gold_title,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_phrase_cand_0007,5abba1ce554299642a094ae2,exact_phrase_lookup,doc_horatio_hamlet_5b3fb47338,Horatio (Hamlet)," Horatio's origins are unknown, although he was present on the battlefield when Hamlet's father defeated 'the ambitious Norway', Fortinbras (the king), and attended Wittenberg University with Prince Hamlet.",Wittenberg University,"Which document contains the exact phrase ""Wittenberg University"" in evidence related to: Horatio was present on the battlefield when Hamlet's father defeated the prince who delivers the final lines of the play that represent a hopeful future for which country?","Which document contains the exact phrase ""Wittenberg University"" and mentions that Horatio attended university with Prince Hamlet?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_phrase_cand_0008,5ae6a8a75542995703ce8b82,exact_phrase_lookup,doc_saco_maine_ccbc57c916,"Saco, Maine"," It is home to Ferry Beach State Park, Funtown Splashtown USA, Thornton Academy, as well as General Dynamics Armament Systems (also known by its former name, Saco Defense), a subsidiary of the defense contractor General Dynamics.",General Dynamics Armament Systems,"Which document contains the exact phrase ""General Dynamics Armament Systems"" in evidence related to: Why is Funtown Splashtown USA such an important part of Saco, Maine?","Which document contains the exact phrase ""General Dynamics Armament Systems"" and mentions its former name, Saco Defense?",accepted,,accept,1,,The question is a natural lookup question that matches the subtype and uses the required anchor value.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_phrase_cand_0009,5add4fb95542997545bbbd2e,exact_phrase_lookup,doc_the_hand_that_feeds_c1e4dec470,The Hand That Feeds," It was also a crossover hit, crossing over to pop radio as their first top 40 radio hit since ""Closer"" and ""Hurt"" in 1994 and 1995, respectively, peaking at number 31 on the Billboard Hot 100 chart.",Billboard Hot,"Which document contains the exact phrase ""Billboard Hot"" in evidence related to: What crossover hit was a song by the American Industrial rock band Nine Inch Nails?","Which document contains the exact phrase ""Billboard Hot"" and mentions a Nine Inch Nails song that peaked at number 31 on the chart?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_phrase_cand_0010,5ac289b45542992f1f2b38f0,exact_phrase_lookup,doc_jonny_howson_79b574f1dc,Jonny Howson,Jonathan Mark Howson (born 21 May 1988) is an English professional footballer who plays as a central midfielder for Middlesbrough in the Championship.,Jonathan Mark Howson,"Which document contains the exact phrase ""Jonathan Mark Howson"" in evidence related to: Jonathan Mark Howson plays as a central midfielder for a football club formed in what year?","Which document contains the exact phrase ""Jonathan Mark Howson"" and states that he plays as a central midfielder for Middlesbrough in the Championship?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_phrase_cand_0011,5a8386b3554299123d8c2147,exact_phrase_lookup,doc_big_ballet_6abbbe6de3,Big Ballet,Big Ballet was a British documentary television programme produced by Rare Day and broadcast on Channel 4.,Rare Day and,"Which document contains the exact phrase ""Rare Day and"" in evidence related to: What documentary produced by Rare Day followed a judge on the ITV entertainment series ""Stepping Out""?","Which document contains the exact phrase ""Rare Day and"" and describes a British documentary television programme broadcast on Channel 4?",accepted,,accept,1,,The question is well-formed and follows the exact phrase lookup subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_phrase_cand_0012,5a79d9e55542994f819ef0cf,exact_phrase_lookup,doc_two_world_wars_and_one_world_cup_778e2eb388,Two World Wars and One World Cup,"""Two World Wars and One World Cup"" is a football song sung by supporters of the England national football team to the tune of ""Camptown Races"" as part of the England–Germany football rivalry.",Two World Wars and One World,"Which document contains the exact phrase ""Two World Wars and One World"" in evidence related to: Which rivalry were involved in the chant referring to the United Kingdom's Victories of the First and Second World War?","Which document contains the exact phrase ""Two World Wars and One World"" and describes a football song sung by supporters of the England national football team to the tune of ""Camptown Races"" as part of the England–Germany football rivalry?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the exact phrase subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_phrase_cand_0013,5a7b53a95542995eb53be919,exact_phrase_lookup,doc_when_louis_met_6585229b65,When Louis Met...,When Louis Met... is a series of documentary films by Louis Theroux.,Louis Theroux.,"Which document contains the exact phrase ""Louis Theroux."" in evidence related to: What is the year of the event that happened first, When Louis Met originally aired, or Mostyn Hamilton was born?","Which document contains the exact phrase ""Louis Theroux."" and describes the series of documentary films he created?",accepted,,accept,2,,The question is a natural lookup and the gold sentence contains the exact phrase.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_phrase_cand_0014,5a8d9e91554299441c6ba016,exact_phrase_lookup,doc_we_are_your_friends_film_d30c613a57,We Are Your Friends (film),"We Are Your Friends is a 2015 drama film directed by Max Joseph (in his directorial debut) and written by Joseph and Meaghan Oppenheimer, from a story by Richard Silverman.",Joseph and Meaghan Oppenheimer,"Which document contains the exact phrase ""Joseph and Meaghan Oppenheimer"" in evidence related to: The actress that rose to prominence after appearing in Robin Thicke's ""Blurred Lines"" video co-stars with Zac Efron in a 2015 film directed by who?","Which document contains the exact phrase ""Joseph and Meaghan Oppenheimer"" and describes a 2015 drama film directed by Max Joseph?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype. It uses the required anchor and does not leak the title when forbidden.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_phrase_cand_0015,5add3c105542997545bbbcda,exact_phrase_lookup,doc_yahya_abdul_mateen_ii_c96f1ee07d,Yahya Abdul-Mateen II," He also starred in ""Baywatch"" (2017), and will appear in ""The Greatest Showman"" and DC's ""Aquaman"".",The Greatest Showman,"Which document contains the exact phrase ""The Greatest Showman"" in evidence related to: Yahya Abdul-Mateen II starred in what 2017 action comedy film?","Which document contains the exact phrase ""The Greatest Showman"" and mentions that Yahya Abdul-Mateen II starred in ""Baywatch"" (2017)?",needs_review,Deterministic checks failed: non_title_lookup_leaks_gold_title,repair,3,non_title_lookup_leaks_gold_title,Deterministic checks failed: non_title_lookup_leaks_gold_title,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_phrase_cand_0016,5ae0b88c55429924de1b7142,exact_phrase_lookup,doc_cheryl_mills_113a1039d4,Cheryl Mills," She has worked for New York University as Senior Vice President, served as Senior Adviser and Counsel for Hillary Clinton's 2008 presidential campaign, and is considered a member of Hillary Clinton's group of core advisers, self-designated as ""Hillaryland"".",Senior Adviser and Counsel,"Which document contains the exact phrase ""Senior Adviser and Counsel"" in evidence related to: Cheryl D. Mills (born 1965) is an American lawyer and corporate executive, she has served as Senior Adviser and Counsel for Hillary Clinton's 2008 presidential campaign, and is considered a member of Hillary Clinton's group of core advisers, self-designated as ""Hillaryland"", the self-designated name of a group of core advisors to Hillary Clinton, when she was First Lady of the United States and again when, as United States Senator, she was one of the Democratic Party candidates for President, in which election event?","Which document contains the exact phrase ""Senior Adviser and Counsel"" and describes the individual who served in that role for Hillary Clinton's 2008 presidential campaign?",accepted,,accept,1,,The question is answerable from the gold sentence and uses the required anchor value.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_phrase_cand_0017,5a8e5d465542990e94052ae9,exact_phrase_lookup,doc_reeth_abraham_5748660745,Reeth Abraham,"Reeth Abraham is an athlete from Bengaluru, India and former South Asian Games champion in long jump<ref name=""http://www.iaaf.org/athletes/india/reeth-abraham-67422""> </ref> and 100 meters hurdles and the former national champion in heptathlon.",South Asian Games,"Which document contains the exact phrase ""South Asian Games"" in evidence related to: Reeth Abraham is an athlete from Bengaluru, India and former champion in long jump and 100 meters hurdles, at which biennial multi-sport event held among the athletes from South Asia?","Which document contains the exact phrase ""South Asian Games"" and mentions Reeth Abraham as a former champion in long jump and 100 meters hurdles?",needs_review,Deterministic checks failed: non_title_lookup_leaks_gold_title,repair,3,non_title_lookup_leaks_gold_title,Deterministic checks failed: non_title_lookup_leaks_gold_title,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_phrase_cand_0018,5ab46cc75542996a3a969f81,exact_phrase_lookup,doc_caterham_f1_1889bb609d,Caterham F1," The Caterham brand had competed in the Formula One World Championship from 2012 to 2014, following the acquisition of British sportscar manufacturer Caterham Cars by former owner and team principal Tony Fernandes, forming the Caterham Group.",Formula One World Championship,"Which document contains the exact phrase ""Formula One World Championship"" in evidence related to: The former owner and principal of the Caterham F1 Team founded what company?","Which document contains the exact phrase ""Formula One World Championship"" and mentions the company founded by the former owner and principal of the Caterham F1 Team?",needs_review,Deterministic checks failed: non_title_lookup_leaks_gold_title,repair,3,non_title_lookup_leaks_gold_title,Deterministic checks failed: non_title_lookup_leaks_gold_title,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_phrase_cand_0019,5a823f3055429940e5e1a80d,exact_phrase_lookup,doc_dane_dehaan_68815e5fe1,Dane DeHaan," His roles include Jesse on the HBO series ""In Treatment"", Andrew Detmer in ""Chronicle"" (2012), Jason Kancam in Derek Cianfrance's ""The Place Beyond the Pines"" (2012), Lucien Carr in ""Kill Your Darlings"" (2013), Harry Osborn in ""The Amazing Spider-Man 2"" (2014), James Dean in Anton Corbijn's ""Life"" (2015), Lockhart in Gore Verbinski's ""A Cure for Wellness"" (2016) and the title character in Luc Besson's ""Valerian and the City of a Thousand Planets"" (2017).",The Place Beyond the Pines,"Which document contains the exact phrase ""The Place Beyond the Pines"" in evidence related to: What 2015 biographical drama features Dane William DeHaan?","Which document contains the exact phrase ""The Place Beyond the Pines"" and mentions Dane William DeHaan's role in a 2012 film?",accepted,,accept,1,,The gold sentence contains the exact phrase and mentions Dane DeHaan's role in a 2012 film.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_phrase_cand_0020,5a7a639f55429941d65f260d,exact_phrase_lookup,doc_frew_mcmillan_d1ba360609,Frew McMillan,Frew Donald McMillan (born 20 May 1942) is a former professional male tennis player from South Africa who won five major doubles championships including three Wimbledons with Bob Hewitt.,Frew Donald McMillan,"Which document contains the exact phrase ""Frew Donald McMillan"" in evidence related to: Who was born later, Tomáš Šmíd or Frew McMillan?","Which document contains the exact phrase ""Frew Donald McMillan"" and mentions his birth date?",accepted,,accept,1,,The question is answerable from the gold sentence and uses the required anchor value.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_phrase_cand_0021,5a8483705542992ef85e2415,exact_phrase_lookup,doc_doctor_stranger_ec0b207197,Doctor Stranger,"Doctor Stranger () is a 2014 South Korean television series starring Lee Jong-suk, Jin Se-yeon, Park Hae-jin and Kang So-ra.",Park Hae-jin and Kang So-ra.,"Which document contains the exact phrase ""Park Hae-jin and Kang So-ra."" in evidence related to: What South Korean actor starred on the series Doctor Stranger and had a leading roll in the movie ""Man to Man""?","Which document contains the exact phrase ""Park Hae-jin and Kang So-ra."" and lists a South Korean actor from the television series starring Lee Jong-suk who also had a leading role in the movie ""Man to Man""?",accepted,,accept,3,,The question is answerable from the gold sentence and uses the required anchor value.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
