method,method_role,question_id,task_type,question,gold_count,matched_gold_count,gold_titles,missed_gold_titles,retrieved_titles_top5,mrr_at_5,latency_ms
fusion,formal_baseline,mh_0001,multi_hop_relation,"Who was the director of an American epic space opera film that starred an actor born March 5, 1989?",2,1,Jake Lloyd | Star Wars: Episode I – The Phantom Menace,Star Wars: Episode I – The Phantom Menace,Eleni (film) | Jake Lloyd | Victor Wong (actor born 1906) | Fernando Fernández (actor) | Georg Tressler,0.5,193.55485997696718
fusion,formal_baseline,mh_0004,multi_hop_relation,Whose orchestra accompanied the First Lady of Song and other singers in a 1967 television special?,2,1,A Man and His Music + Ella + Jobim | Ella Fitzgerald,Ella Fitzgerald,A Man and His Music + Ella + Jobim | Some Velvet Morning | Just Bummin' Around | Movin' with Nancy (album) | Sukhwinder Singh,1.0,196.95785998900732
fusion,formal_baseline,mh_0005,multi_hop_relation,"What title did the mother of Archduke Charles, Duke of Teschen hold in Tuscany?",2,1,"Archduke Charles, Duke of Teschen | Maria Luisa of Spain",Maria Luisa of Spain,"Archduke Charles, Duke of Teschen | Archduke Charles of Austria (disambiguation) | Battle of Neresheim | Count Leo Stefan of Habsburg | Battle of Mannheim (1799)",1.0,185.50465999146303
fusion,formal_baseline,mh_0007,multi_hop_relation,The Rieder Automatic Rifle was a model made by the company that created firearms for the forces of what country?,2,1,Lee–Enfield | Rieder Automatic Rifle,Lee–Enfield,Rieder Automatic Rifle | Chauchat | Automatic rifle | Sieg automatic rifle | Howell Automatic Rifle,1.0,184.48576001425585
fusion,formal_baseline,mh_0009,multi_hop_relation,Marina Zueva was the coach for which Canadian World Champion ice dancer?,2,1,Marina Zueva | Tessa Virtue,Tessa Virtue,Marina Zueva | Marina Klimova | Marina Anissina | Gwendal Peizerat | Sergei Ponomarenko,1.0,187.22136002381643
fusion,formal_baseline,mh_0012,multi_hop_relation,Hafþór Júlíus Björnsson plays an HBO character who first appears in book form in what year?,2,1,Gregor Clegane | Hafþór Júlíus Björnsson,Gregor Clegane,Hafþór Júlíus Björnsson | 2013 World's Strongest Man | Kristen Schaal | Medieval theatre | BoJack Horseman,1.0,186.85225998957952
fusion,formal_baseline,mh_0013,multi_hop_relation,Racism without Racists was published by the house founded in what year?,2,1,Racism without Racists | Rowman &amp; Littlefield,Rowman &amp; Littlefield,Racism without Racists | World Conference against Racism | Anne Frank Foundation | Hugo Montgomery-Swan | W. E. B. Du Bois,1.0,185.6308600117763
fusion,formal_baseline,mh_0015,multi_hop_relation,"What was the population in 2011 of the city that St Mary's Church, Lower Ince is in?",2,1,"St Mary's Church, Lower Ince | Wigan",Wigan,"St Mary's Church, Lower Ince | Church of St Mary Axe | Christ Church, Ince-in-Makerfield | St Mary's Church, Clophill | St Mary's Cathedral Church",1.0,197.54076000650724
fusion,formal_baseline,mh_0017,multi_hop_relation,What is the name of the Austro-Hungarian general and historian from the province straddling the southern border of the Habsburg Monarchy?,2,1,Emil Vojnović | Military Frontier,Emil Vojnović,Habsburg Monarchy | Military Frontier | Austria-Hungary | Varaždin Generalate | Slavonian Military Frontier,0.5,185.50356000264486
fusion,formal_baseline,mh_0019,multi_hop_relation,What disease was Kyle Broflovski infected with by one of his three friends?,2,1,Kyle Broflovski | Tonsil Trouble,Tonsil Trouble,Kyle Broflovski | Marek's disease | Stan Marsh | Eric Cartman | Ho–Kaufman–Mcalister syndrome,1.0,192.86986000438532
fusion,formal_baseline,mh_0023,multi_hop_relation,"In what year was the actor who was starred in ""Mogambo"" with Ave Gardner and Grace Kelly born?",2,1,Clark Gable | Mogambo,Clark Gable,Mogambo | Grace Kelly filmography | Red Dust (1932 film) | Grace Kelly (musician) | Grace Kelly (1983 film),1.0,268.4690599848827
fusion,formal_baseline,mh_0024,multi_hop_relation,"Olivia Newton-John's song Magic was displaced from the top by Sailing, which is by what American singer-songwriter from San Antonio, Texas?",2,1,Christopher Cross | Magic (Olivia Newton-John song),Christopher Cross,Magic (Olivia Newton-John song) | Olivia Newton-John's Greatest Hits | Magic: The Very Best of Olivia Newton-John | Gold (Olivia Newton-John album) | John Farrar,1.0,206.72276000281175
fusion,formal_baseline,mh_0027,multi_hop_relation,While in exile in Argentina Lorenzo Luzuriaga translated several works by a philosopher that died in what year?,2,1,John Dewey | Lorenzo Luzuriaga,John Dewey,Lorenzo Luzuriaga | Antonio Braga | Conspiracy theories about Adolf Hitler's death | William Stopford Kenny | Eva Braun,1.0,193.2205599953731
fusion,formal_baseline,mh_0028,multi_hop_relation,In what year did the American public-benefit company based in New York help crowd fund a Hidden Path Entertainment tower defense game?,2,1,Defense Grid 2 | Kickstarter,Kickstarter,Hidden Path Entertainment | Defense Grid 2 | Defense Grid: The Awakening | South Park Let's Go Tower Defense Play! | Spurs Sports &amp; Entertainment,0.5,191.84845998485883
fusion,formal_baseline,mh_0033,multi_hop_relation,The final stretch of the 2015 Chilean telethon was held at a stadium that has an official capacity of how much?,2,1,2015 Chilean telethon | Estadio Nacional Julio Martínez Prádanos,Estadio Nacional Julio Martínez Prádanos,2016 Chilean telethon | 2015 Chilean telethon | 2010 Chilean telethon | 2011 Chilean telethon | 1998 Chilean telethon,0.5,186.8186600168546
fusion,formal_baseline,mh_0038,multi_hop_relation,"Who was the director of the 2002 motion picture drama which featured John Hiatt's ""Slow Turning""?",2,1,Slow Turning | The Rookie (2002 film),The Rookie (2002 film),Slow Turning | Beneath This Gruff Exterior | Drive South | The Tiki Bar Is Open | Cabin Pressure (film),1.0,207.72356001635393
fusion,formal_baseline,mh_0044,multi_hop_relation,"What actress appeared on ""The Sing-Off"" before her role in the film directed and co-produced by Elizabeth Banks?",2,0,Kelley Jakle | Pitch Perfect 2,Kelley Jakle | Pitch Perfect 2,Pitch Perfect (film series) | Surrender Dorothy (film) | The Hunger Games: Mockingjay – Part 2 | Dora De Winton | Role Models,0.0,217.73486001392206
fusion,formal_baseline,mh_0046,multi_hop_relation,Who directed the 2015 film in which Alia Shawkat plays Gertie Michaels?,2,1,Alia Shawkat | The Final Girls,The Final Girls,Alia Shawkat | Nasty Baby | The Driftless Area | The Moment (2013 film) | Arsinée Khanjian,1.0,190.43016001184782
fusion,formal_baseline,mh_0048,multi_hop_relation,"The Blink-182 song ""Ghost on the Dance Floor"" was speculated to be inspired by the death of a DJ that died in what year?",2,1,DJ AM | Ghost on the Dance Floor,DJ AM,Ghost on the Dance Floor | Get Together (Madonna song) | Pepper's ghost | Get on the Dance Floor | Illuminated dance floor,1.0,213.41155999501547
fusion,formal_baseline,mh_0052,multi_hop_relation,Which cast member of Exit 57 also appears on BoJack Horseman ?,2,1,Amy Sedaris | Exit 57,Amy Sedaris,BoJack Horseman | Exit 57 | List of BoJack Horseman characters | List of BoJack Horseman episodes | Raphael Bob-Waksberg,0.5,189.6621600051721
fusion,formal_baseline,mh_0054,multi_hop_relation,40 Pounds of Trouble is a retelling of the story by the newspaperman of what nationality?,2,1,40 Pounds of Trouble | Damon Runyon,Damon Runyon,40 Pounds of Trouble | Tonsil Trouble | Sharon Farrell | Fettered by Fate | Timeline of space travel by nationality,1.0,191.50405999620756
fusion,formal_baseline,mh_0058,multi_hop_relation,"The first major project for the Roller Coaster Corporation of America was renamed, and is now called what?",2,1,Iron Rattler | Roller Coaster Corporation of America,Iron Rattler,Roller Coaster Corporation of America | Leviathan (roller coaster) | Millennium Force | Son of Beast | Apocalypse (Six Flags America),1.0,192.68925998707613
fusion,formal_baseline,sf_0009,semantic_fact,Which filmmaker directed the documentary that received a Best Documentary Academy Award nomination?,1,0,4 Little Girls,4 Little Girls,James Longley (filmmaker) | James Laxton | Iraq in Fragments | Chicago Film Critics Association Awards 2016 | Chicago Film Critics Association Awards 1990,0.0,187.28396001060804
fusion,formal_baseline,sf_0035,semantic_fact,"Where did the film win the award for ""Best Film"" in 2004?",1,0,Über Goober,Über Goober,Golden Globe Award for Best Animated Feature Film | National Film Award for Best Lyrics | Cate Blanchett | Chicago Film Critics Association Awards 2016 | Cars 2,0.0,200.6850599606832
graph_path,formal_baseline,sf_0009,semantic_fact,Which filmmaker directed the documentary that received a Best Documentary Academy Award nomination?,1,0,4 Little Girls,4 Little Girls,James Longley (filmmaker) | Iraq in Fragments | The Cove (film) | James Laxton | Barry Jenkins,0.0,16.765000000596046
graph_path,formal_baseline,sf_0035,semantic_fact,"Where did the film win the award for ""Best Film"" in 2004?",1,0,Über Goober,Über Goober,Golden Globe Award for Best Animated Feature Film | Cars 2 | Lightning McQueen | Cars 3 | National Film Award for Best Lyrics,0.0,24.104599982500076
graph_path,formal_baseline,sf_0053,semantic_fact,What role does Philip John Neville currently have with Sky Sports and what ownership position does he hold with Salford City?,1,0,Phil Neville,Phil Neville,"Salford City F.C. | Salford, Greater Manchester | Listed buildings in Salford, Greater Manchester | Leicester City F.C. | King Power Stadium",0.0,20.267199993133545
graph_path,formal_baseline,sf_0055,semantic_fact,What year did the British–Norwegian pop group A1 form?,1,0,A1 (band),A1 (band),Keiko Takemiya | Crystal Palace F.C. Player of the Year | Wilfried Zaha | VH1's Top 40 Videos of the Year | Blurred Lines,0.0,17.388200014829636
graph_path,formal_baseline,mh_0001,multi_hop_relation,"Who was the director of an American epic space opera film that starred an actor born March 5, 1989?",2,0,Jake Lloyd | Star Wars: Episode I – The Phantom Menace,Jake Lloyd | Star Wars: Episode I – The Phantom Menace,Victor Wong (actor born 1906) | Fernando Fernández (actor) | Emilio Fernández | Michael Brown (film director) | Michael Levine (set designer),0.0,20.97919999063015
graph_path,formal_baseline,mh_0002,multi_hop_relation,"Who released his debut solo album after the group disbanded, Biff Byford or Shane Filan?",2,1,Biff Byford | Shane Filan,Biff Byford,Shane Filan | You and Me (Shane Filan album) | Baby Let's Dance | Album | Love Always (Shane Filan album),1.0,17.18189999461174
graph_path,formal_baseline,mh_0004,multi_hop_relation,Whose orchestra accompanied the First Lady of Song and other singers in a 1967 television special?,2,1,A Man and His Music + Ella + Jobim | Ella Fitzgerald,Ella Fitzgerald,Sukhwinder Singh | National Film Award for Best Male Playback Singer | S. P. Balasubrahmanyam | A Man and His Music + Ella + Jobim | Some Velvet Morning,0.25,25.31199999153614
graph_path,formal_baseline,mh_0005,multi_hop_relation,"What title did the mother of Archduke Charles, Duke of Teschen hold in Tuscany?",2,1,"Archduke Charles, Duke of Teschen | Maria Luisa of Spain",Maria Luisa of Spain,"Archduke Charles, Duke of Teschen | Count Leo Stefan of Habsburg | Archduke Charles of Austria (disambiguation) | Battle of Caldiero (1805) | Battle of Neresheim",1.0,13.48029999434948
graph_path,formal_baseline,mh_0007,multi_hop_relation,The Rieder Automatic Rifle was a model made by the company that created firearms for the forces of what country?,2,1,Lee–Enfield | Rieder Automatic Rifle,Lee–Enfield,Automatic rifle | Chauchat | Rashtriya Sanskrit Model Senior Secondary School | Rieder Automatic Rifle | Howell Automatic Rifle,0.25,13.77480000257492
graph_path,formal_baseline,mh_0012,multi_hop_relation,Hafþór Júlíus Björnsson plays an HBO character who first appears in book form in what year?,2,1,Gregor Clegane | Hafþór Júlíus Björnsson,Gregor Clegane,Hafþór Júlíus Björnsson | Kristen Schaal | BoJack Horseman | Alison Brie | Amy Sedaris,1.0,15.530599981546402
graph_path,formal_baseline,mh_0013,multi_hop_relation,Racism without Racists was published by the house founded in what year?,2,1,Racism without Racists | Rowman &amp; Littlefield,Rowman &amp; Littlefield,Racism without Racists | World Conference against Racism | Euratlas | Manchester United F.C. league record by opponent | Hugo Montgomery-Swan,1.0,15.518400013446808
graph_path,formal_baseline,mh_0017,multi_hop_relation,What is the name of the Austro-Hungarian general and historian from the province straddling the southern border of the Habsburg Monarchy?,2,1,Emil Vojnović | Military Frontier,Emil Vojnović,Varaždin Generalate | Military Frontier | Habsburg Monarchy | Monarch | Slavonian Military Frontier,0.5,15.974999994039536
graph_path,formal_baseline,mh_0018,multi_hop_relation,What was the person who had a sidekick who the hosted nationally televised talent competition?,2,0,Ed McMahon | Geechy Guy,Ed McMahon | Geechy Guy,Krista K | Album | LP record | What Kind of Love Are You On | Tommy Shaw,0.0,6.868100002408028
graph_path,formal_baseline,mh_0019,multi_hop_relation,What disease was Kyle Broflovski infected with by one of his three friends?,2,1,Kyle Broflovski | Tonsil Trouble,Tonsil Trouble,Kyle Broflovski | Eric Cartman | Kenny McCormick | Stan Marsh | Cartman Gets an Anal Probe,1.0,22.672600001096725
graph_path,formal_baseline,mh_0021,multi_hop_relation,Richard Siward resided at the castle just outside what Scottish town?,2,1,Kellie Castle | Richard Siward (d.1311),Kellie Castle,"Richard Siward | Richard Siward (d.1311) | Richard C. Sarafian | Richard Ashby Wilson | Rutherglen, Victoria",0.5,9.421499997377396
graph_path,formal_baseline,mh_0024,multi_hop_relation,"Olivia Newton-John's song Magic was displaced from the top by Sailing, which is by what American singer-songwriter from San Antonio, Texas?",2,1,Christopher Cross | Magic (Olivia Newton-John song),Christopher Cross,Magic (Olivia Newton-John song) | If Not for You (album) | John Farrar | Gold (Olivia Newton-John album) | Olivia Newton-John's Greatest Hits,1.0,34.70479999482632
graph_path,formal_baseline,mh_0027,multi_hop_relation,While in exile in Argentina Lorenzo Luzuriaga translated several works by a philosopher that died in what year?,2,1,John Dewey | Lorenzo Luzuriaga,John Dewey,Lorenzo Luzuriaga | Conspiracy theories about Adolf Hitler's death | Eva Braun | Gonzalo Gavira | Battle of Sewell's Point,1.0,22.247400000691414
graph_path,formal_baseline,mh_0028,multi_hop_relation,In what year did the American public-benefit company based in New York help crowd fund a Hidden Path Entertainment tower defense game?,2,1,Defense Grid 2 | Kickstarter,Kickstarter,Hidden Path Entertainment | Spurs Sports &amp; Entertainment | San Antonio Rampage | Defense Grid: The Awakening | Defense Grid 2,0.2,19.835400000214577
graph_path,formal_baseline,mh_0033,multi_hop_relation,The final stretch of the 2015 Chilean telethon was held at a stadium that has an official capacity of how much?,2,1,2015 Chilean telethon | Estadio Nacional Julio Martínez Prádanos,Estadio Nacional Julio Martínez Prádanos,2015 Chilean telethon | 2016 Chilean telethon | 2010 Chilean telethon | 2011 Chilean telethon | 1998 Chilean telethon,1.0,16.071700006723404
graph_path,formal_baseline,mh_0038,multi_hop_relation,"Who was the director of the 2002 motion picture drama which featured John Hiatt's ""Slow Turning""?",2,1,Slow Turning | The Rookie (2002 film),The Rookie (2002 film),Slow Turning | Beneath This Gruff Exterior | The Tiki Bar Is Open | Drive South | Album,1.0,25.492899999022484
graph_path,formal_baseline,mh_0043,multi_hop_relation,How many members are in the Party that Jack Eddington is a member of as of October 2010?,2,1,Independence Party of New York | Jack Eddington,Independence Party of New York,Jack Eddington | Johnny Jack Nounes | Organized crime | John B. Kelly Jr. | John B. Kelly Sr.,1.0,16.640000000596046
graph_path,formal_baseline,mh_0044,multi_hop_relation,"What actress appeared on ""The Sing-Off"" before her role in the film directed and co-produced by Elizabeth Banks?",2,0,Kelley Jakle | Pitch Perfect 2,Kelley Jakle | Pitch Perfect 2,Pitch Perfect (film series) | The Hunger Games: Mockingjay – Part 2 | Film series | Every Secret Thing (film) | Nate Parker,0.0,34.71629999577999
graph_path,formal_baseline,mh_0048,multi_hop_relation,"The Blink-182 song ""Ghost on the Dance Floor"" was speculated to be inspired by the death of a DJ that died in what year?",2,1,DJ AM | Ghost on the Dance Floor,DJ AM,Ghost on the Dance Floor | Pepper's ghost | Pinocchio's Daring Journey | Get Together (Madonna song) | Get Rich or Die Tryin' (soundtrack),1.0,35.5608000010252
graph_path,formal_baseline,mh_0050,multi_hop_relation,"Grinderman and DIIV, are bands of which mutual genre?",2,1,DIIV | Grinderman,Grinderman,DIIV | Zachary Cole Smith | Album | LP record | Mela Lee,1.0,7.613899990916252
graph_path,formal_baseline,mh_0054,multi_hop_relation,40 Pounds of Trouble is a retelling of the story by the newspaperman of what nationality?,2,1,40 Pounds of Trouble | Damon Runyon,Damon Runyon,40 Pounds of Trouble | Tonsil Trouble | What Am I Gonna Do with You | Kyle Broflovski | Sharon Farrell,1.0,20.00900000333786
graph_path,formal_baseline,mh_0058,multi_hop_relation,"The first major project for the Roller Coaster Corporation of America was renamed, and is now called what?",2,1,Iron Rattler | Roller Coaster Corporation of America,Iron Rattler,Roller Coaster Corporation of America | Leviathan (roller coaster) | Maverick (roller coaster) | Millennium Force | Son of Beast,1.0,20.974900007247925
graph_path,formal_baseline,ex_date_0014,exact_file_lookup,Which document mentions an actor from a 1962 film who also appeared in The Parent Trap?,1,0,Moon Pilot,Moon Pilot,Parent Trap: Hawaiian Honeymoon | Parent Trap III | The Parent Trap II | Hallie Meyers-Shyer | The Parent Trap (1961 film),0.0,18.845699980854988
graph_path,formal_baseline,ex_date_0017,exact_file_lookup,"Which document mentions the rank 23 for the lead single from the album ""Women in Technology"" in the United States?",1,0,White Town,White Town,Album | Blurred Lines (album) | Give It 2 U | Blurred Lines | You and Me (Shane Filan album),0.0,39.983899995684624
graph_path,formal_baseline,ex_date_0018,exact_file_lookup,"Which document mentions February 24, 1953 and states that the person is a musician?",1,0,Derek St. Holmes,Derek St. Holmes,John Strohm (musician) | Juliana Hatfield | Matthew Caws | Nada Surf | Album,0.0,15.085400000214577
graph_path,formal_baseline,ex_date_0019,exact_file_lookup,"Which document mentions ""1960"" and states that a cinematographer is best known for a 2016 film directed by which director?",1,0,Giles Nuttgens,Giles Nuttgens,The Adventures of Tintin (film) | Edgar Wright | Hot Fuzz | Nick Frost | Attack the Block,0.0,28.517000004649162
graph_path,formal_baseline,ex_phrase_0008,exact_file_lookup,"Which document contains the exact phrase ""Joseph and Meaghan Oppenheimer"" and describes a 2015 drama film directed by Max Joseph?",1,0,We Are Your Friends (film),We Are Your Friends (film),The Adventures of Tintin (film) | Joe Cornish | Attack the Block | Nick Frost | Edgar Wright,0.0,36.10879999399185
graph_path,formal_baseline,ex_phrase_0014,exact_file_lookup,"Which document contains the exact phrase ""The Children of Lir"" and describes the debut album genre of Loudest Whisper?",1,0,The Children of Lir (Loudest Whisper album),The Children of Lir (Loudest Whisper album),Album | You and Me (Shane Filan album) | Baby Let's Dance | Shane Filan | Fearless (Eighth Wonder album),0.0,27.965300008654594
oracle,analysis_only,ex_date_0014,exact_file_lookup,Which document mentions an actor from a 1962 film who also appeared in The Parent Trap?,1,0,Moon Pilot,Moon Pilot,The Parent Trap (1961 film) | Parent Trap III | The Parent Trap II | Parent Trap: Hawaiian Honeymoon | The Parent Trap (song),0.0,4.283399999141693
oracle,analysis_only,ex_date_0017,exact_file_lookup,"Which document mentions the rank 23 for the lead single from the album ""Women in Technology"" in the United States?",1,0,White Town,White Town,Your Woman | SPARS | Abuse Me | Album | 1988 Australian Open – Women's Singles,0.0,12.089800000190735
oracle,analysis_only,mh_0001,multi_hop_relation,"Who was the director of an American epic space opera film that starred an actor born March 5, 1989?",2,1,Jake Lloyd | Star Wars: Episode I – The Phantom Menace,Star Wars: Episode I – The Phantom Menace,Jake Lloyd | John Balme | Alvin Drew | Lost in Space (American Dad!) | Chicago Film Critics Association Awards 1989,1.0,6.176999986171722
oracle,analysis_only,mh_0004,multi_hop_relation,Whose orchestra accompanied the First Lady of Song and other singers in a 1967 television special?,2,1,A Man and His Music + Ella + Jobim | Ella Fitzgerald,Ella Fitzgerald,A Man and His Music + Ella + Jobim | Some Velvet Morning | That Lady (song) | Classic Diamonds – The DVD | Just Bummin' Around,1.0,5.340700000524521
oracle,analysis_only,mh_0007,multi_hop_relation,The Rieder Automatic Rifle was a model made by the company that created firearms for the forces of what country?,2,1,Lee–Enfield | Rieder Automatic Rifle,Lee–Enfield,Rieder Automatic Rifle | Automatic rifle | Howell Automatic Rifle | Sieg automatic rifle | Chauchat,1.0,3.9146000146865845
oracle,analysis_only,mh_0012,multi_hop_relation,Hafþór Júlíus Björnsson plays an HBO character who first appears in book form in what year?,2,1,Gregor Clegane | Hafþór Júlíus Björnsson,Gregor Clegane,Hafþór Júlíus Björnsson | 2013 World's Strongest Man | The Brave Little Tailor | List of Waterloo Road characters (series 8) | On the Movements and Habits of Climbing Plants,1.0,4.716499999165535
oracle,analysis_only,mh_0013,multi_hop_relation,Racism without Racists was published by the house founded in what year?,2,1,Racism without Racists | Rowman &amp; Littlefield,Rowman &amp; Littlefield,Racism without Racists | World Conference against Racism | Anne Frank Foundation | Hugo Montgomery-Swan | Arbor House,1.0,3.66839998960495
oracle,analysis_only,mh_0017,multi_hop_relation,What is the name of the Austro-Hungarian general and historian from the province straddling the southern border of the Habsburg Monarchy?,2,1,Emil Vojnović | Military Frontier,Emil Vojnović,Habsburg Monarchy | Military Frontier | Slavonian Military Frontier | Austria-Hungary | Monarch,0.5,3.089800000190735
oracle,analysis_only,mh_0019,multi_hop_relation,What disease was Kyle Broflovski infected with by one of his three friends?,2,1,Kyle Broflovski | Tonsil Trouble,Tonsil Trouble,Kyle Broflovski | Stan Marsh | Marek's disease | Leucostoma canker | Eric Cartman,1.0,3.8317999988794327
oracle,analysis_only,mh_0024,multi_hop_relation,"Olivia Newton-John's song Magic was displaced from the top by Sailing, which is by what American singer-songwriter from San Antonio, Texas?",2,1,Christopher Cross | Magic (Olivia Newton-John song),Christopher Cross,Magic (Olivia Newton-John song) | Magic: The Very Best of Olivia Newton-John | Olivia Newton-John's Greatest Hits | John Farrar | San Antonio Rampage,1.0,5.6914999932050705
oracle,analysis_only,mh_0027,multi_hop_relation,While in exile in Argentina Lorenzo Luzuriaga translated several works by a philosopher that died in what year?,2,1,John Dewey | Lorenzo Luzuriaga,John Dewey,Lorenzo Luzuriaga | William Stopford Kenny | Mohand Tazerout | Grigor Magistros | Jacques Dars,1.0,4.618100002408028
oracle,analysis_only,mh_0033,multi_hop_relation,The final stretch of the 2015 Chilean telethon was held at a stadium that has an official capacity of how much?,2,1,2015 Chilean telethon | Estadio Nacional Julio Martínez Prádanos,Estadio Nacional Julio Martínez Prádanos,2015 Chilean telethon | 2016 Chilean telethon | 2010 Chilean telethon | 1998 Chilean telethon | 2011 Chilean telethon,1.0,4.36089999973774
oracle,analysis_only,mh_0038,multi_hop_relation,"Who was the director of the 2002 motion picture drama which featured John Hiatt's ""Slow Turning""?",2,1,Slow Turning | The Rookie (2002 film),The Rookie (2002 film),Slow Turning | The Tiki Bar Is Open | Drive South | Beneath This Gruff Exterior | The Way We Make a Broken Heart,1.0,15.191700011491776
oracle,analysis_only,mh_0044,multi_hop_relation,"What actress appeared on ""The Sing-Off"" before her role in the film directed and co-produced by Elizabeth Banks?",2,1,Kelley Jakle | Pitch Perfect 2,Pitch Perfect 2,Pitch Perfect (film series) | Role Models | Surrender Dorothy (film) | Kelley Jakle | The Hunger Games: Mockingjay – Part 2,0.25,16.626900002360344
oracle,analysis_only,mh_0048,multi_hop_relation,"The Blink-182 song ""Ghost on the Dance Floor"" was speculated to be inspired by the death of a DJ that died in what year?",2,1,DJ AM | Ghost on the Dance Floor,DJ AM,Ghost on the Dance Floor | Get Together (Madonna song) | No Parking (On the Dance Floor) | Teenage Time Killers | Get on the Dance Floor,1.0,11.586300000548363
oracle,analysis_only,mh_0054,multi_hop_relation,40 Pounds of Trouble is a retelling of the story by the newspaperman of what nationality?,2,1,40 Pounds of Trouble | Damon Runyon,Damon Runyon,40 Pounds of Trouble | Timeline of space travel by nationality | Sharon Farrell | John de Brantingham | Tonsil Trouble,1.0,2.778899997472763
oracle,analysis_only,mh_0058,multi_hop_relation,"The first major project for the Roller Coaster Corporation of America was renamed, and is now called what?",2,1,Iron Rattler | Roller Coaster Corporation of America,Iron Rattler,Roller Coaster Corporation of America | Son of Beast | Apocalypse (Six Flags America) | Leviathan (roller coaster) | Maverick (roller coaster),1.0,5.42229999601841
oracle,analysis_only,sf_0009,semantic_fact,Which filmmaker directed the documentary that received a Best Documentary Academy Award nomination?,1,0,4 Little Girls,4 Little Girls,James Laxton | James Longley (filmmaker) | Iraq in Fragments | Mysterious Castles of Clay | Academy Honorary Award,0.0,4.149900004267693
